origin_region,distance_band,bt_mode,factor
North East,25 to under 50 miles,WALKING,0.01
North East,5 to under 10 miles,RAIL,3.136709602999898
North East,5 to under 10 miles,ROAD,0.9857291089745559
North East,5 to under 10 miles,WALKING,0.01
North East,50 to under 100 miles,RAIL,1.5506077448748452
North East,50 to under 100 miles,ROAD,0.9484855098738428
North East,50 to under 100 miles,WALKING,0.01
North East,Under 1 mile,RAIL,0.8339002397943845
North East,Under 1 mile,ROAD,0.25615189618248324
North East,Under 1 mile,WALKING,3.8074979857440403
North West,1 to under 2 miles,RAIL,0.1574052705578071
North West,1 to under 2 miles,ROAD,0.7132844762044729
North West,1 to under 2 miles,WALKING,4.433318126866811
North West,10 to under 25 miles,RAIL,1.059778610458801
North West,10 to under 25 miles,ROAD,0.9987117944252144
North West,10 to under 25 miles,WALKING,0.01
North West,100 miles and over,RAIL,1.3808939971438068
North West,100 miles and over,ROAD,0.926870133344801
North West,100 miles and over,SUBWAY,0.01
North West,100 miles and over,WALKING,0.01
North West,2 to under 5 miles,RAIL,1.0757952633877785
North West,2 to under 5 miles,ROAD,0.9544156117523978
North West,2 to under 5 miles,WALKING,3.1673306756742905
North West,25 to under 50 miles,RAIL,1.3089040659805802
North West,25 to under 50 miles,ROAD,0.9724474413155649
North West,25 to under 50 miles,WALKING,0.01
North West,5 to under 10 miles,RAIL,1.3277663085414437
North West,5 to under 10 miles,ROAD,0.9922251904613273
North West,5 to under 10 miles,WALKING,0.788988227167829
North West,50 to under 100 miles,RAIL,2.491339949786419
North West,50 to under 100 miles,ROAD,0.8801819957828201
North West,50 to under 100 miles,WALKING,0.01
North West,Under 1 mile,RAIL,0.01
North West,Under 1 mile,ROAD,0.25832776855614487
North West,Under 1 mile,WALKING,3.8618393686425367
South East,1 to under 2 miles,RAIL,0.11223898612095572
South East,1 to under 2 miles,ROAD,0.6958849275667638
South East,1 to under 2 miles,SUBWAY,100.0
South East,1 to under 2 miles,WALKING,4.190414413726543
South East,10 to under 25 miles,RAIL,1.0416994447513117
South East,10 to under 25 miles,ROAD,0.9924621316871243
South East,10 to under 25 miles,SUBWAY,14.239650044047721
South East,10 to under 25 miles,WALKING,8.94735126363531
South East,100 miles and over,RAIL,1.7303841390190389
South East,100 miles and over,ROAD,0.9464862008751271
South East,100 miles and over,SUBWAY,0.01
South East,100 miles and over,WALKING,0.01
South East,2 to under 5 miles,RAIL,0.1766615748491107
South East,2 to under 5 miles,ROAD,0.9733202331468492
South East,2 to under 5 miles,SUBWAY,50.771671472494056
South East,2 to under 5 miles,WALKING,2.080831096670545
South East,25 to under 50 miles,RAIL,1.8288221022731377
South East,25 to under 50 miles,ROAD,0.8332438852717026
South East,25 to under 50 miles,SUBWAY,53.00422815321481
South East,25 to under 50 miles,WALKING,0.01
